player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,20,1,3,4,5,4,0,0,0.625,0,0,1,0,0,0,0,6.964285714285714
7,9,0,0,0,4,3,0,0,0.6428571428571429,0,0,0,0,0,0,0,5.769230769230769
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
13,25,3,6,5,7,1,2,12,0.34210526315789475,0,1,2,0,0,0,0,5.921052631578948
73,3,1,0,0,0,1,0,0,1.5,0,0,1,0,0,0,0,20
729,7,0,0,0,4,2,1,1,0.5,0,0,0,0,0,0,0,4.090909090909091
trev,15,2,3,3,2,3,0,0,0.6818181818181818,0,2,0,0,3,2,1,11.428571428571427
riq2,6,12,5,3,5,0,0,0,0.23076923076923078,0,5,7,3,1,0,3,7.105263157894736
cordell,11,6,1,4,4,1,0,0,0.55,0,2,4,9,2,1,1,20.294117647058826
chris,22,10,3,10,0,0,1,2,0.7692307692307693,0,2,8,2,2,1,2,17.77777777777778
jared,6,4,4,1,1,1,1,1,0.35714285714285715,0,2,2,1,1,5,0,16.363636363636363
00,4,1,1,1,4,0,0,2,0.16666666666666666,0,1,0,0,0,0,0,0
pope,13,6,1,2,0,2,0,3,1,0,4,2,0,2,1,4,14.166666666666666
cordell's buddy,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,2,-5
ryan,0,3,3,0,3,0,2,0,0,0,1,2,2,1,0,0,0
chosen,5,2,1,2,1,0,0,1,0.5,0,2,0,1,1,0,3,6
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
