player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
kelo,23,6,6,7,6,3,0,0,0.5227272727272727,0,1,5,2,1,0,2,7.297297297297297
chris,31,12,10,14,0,0,2,3,0.5833333333333334,0,2,10,4,2,0,1,13.571428571428571
ryan,8,5,5,4,3,0,0,0,0.3333333333333333,0,1,4,4,0,0,3,4.7368421052631575
eman,12,8,2,6,1,0,0,0,0.6666666666666666,0,4,4,5,0,0,2,17.647058823529413
ev,8,8,2,4,2,0,0,0,0.5,0,1,7,4,0,0,2,15
pope,19,21,14,4,1,2,1,5,0.3333333333333333,0,12,9,5,0,1,4,10.657894736842104
player11,4,4,5,2,4,0,0,0,0.18181818181818182,0,0,4,0,0,0,2,-3
player3,12,12,6,6,4,0,0,0,0.375,0,7,5,0,1,1,1,9.782608695652174
player1,4,2,6,2,2,0,0,0,0.2,0,2,0,0,0,0,0,-2.5
marcus,26,2,5,7,10,4,0,0,0.5,0,0,2,0,0,0,4,3
player2,7,5,2,2,4,1,0,0,0.3888888888888889,0,2,3,0,0,0,1,5.357142857142858
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
