player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-15
2,3,0,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,15
3,10,1,2,3,0,1,0,1,0.75,0,1,0,0,0,0,0,11.25
5,18,2,3,4,5,3,1,1,0.5666666666666667,0,0,2,0,0,0,0,6.923076923076923
8,5,1,1,2,3,0,1,1,0.3333333333333333,0,1,0,0,0,0,0,3.333333333333333
11,19,2,1,0,4,6,1,1,0.8181818181818182,0,1,1,0,0,0,0,10
23,9,0,0,3,4,1,0,0,0.5625,0,0,0,0,0,0,0,5.769230769230769
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15
50,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-7.5
trev,13,3,7,5,4,1,0,0,0.38235294117647056,0,1,2,1,3,1,3,3.888888888888889
pope,6,10,7,2,0,0,1,2,0.2222222222222222,0,6,4,4,4,0,2,15
dylan,18,4,1,2,4,4,0,2,0.7272727272727273,0,0,4,2,3,0,0,14.347826086956522
ev,18,5,0,5,0,2,0,2,1.1428571428571428,0,1,4,5,4,0,5,17.608695652173914
nik,6,6,0,3,4,0,0,0,0.42857142857142855,0,3,3,5,4,0,3,16.153846153846153
00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-15
jared,8,5,1,3,1,0,0,2,0.6,0,1,4,1,2,0,1,17.727272727272727
chosen,4,2,2,2,2,0,0,0,0.3333333333333333,0,0,2,0,1,0,2,1.5
dom,8,5,4,4,4,0,0,0,0.3333333333333333,0,3,2,0,0,0,1,3.5294117647058822
