player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,21,4,3,0,4,6,0,3,0.6923076923076923,0.8076923076923077,1,3,0,0,0,0,8.727272727272727
10,10,4,1,1,3,1,1,5,0.4166666666666667,0.7763975155279502,2,2,0,0,0,0,8
11,7,7,2,2,2,1,2,0,0.5,0.44416243654822335,3,4,0,1,1,0,15
ryan,18,1,0,4,3,3,0,1,0.85,0.9,0,1,0,0,0,1,11.733333333333333
00,5,4,3,2,1,0,0,1,0.3333333333333333,0.4166666666666667,0,4,0,0,1,0,9.142857142857142
dj,20,3,1,1,8,5,0,3,0.5666666666666667,0.6666666666666666,3,0,3,1,0,2,7.04
