player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
deshawn,11,0,1,1,2,3,0,0,0.7857142857142857,0.7857142857142857,0,0,0,0,0,1,8
pete,18,7,4,4,2,3,1,1,0.6538461538461539,0.6696428571428572,1,6,4,2,1,4,11.047619047619047
mitch,5,1,0,1,1,1,0,0,0.8333333333333334,0.8333333333333334,1,0,7,0,0,3,12.571428571428571
cj,13,4,1,5,1,1,0,0,0.8125,0.8125,1,3,2,1,0,1,18.4
q,3,4,3,0,1,1,0,0,0.3,0.3,1,3,1,1,0,1,5.714285714285714
unr,22,4,3,6,8,3,1,1,0.525,0.5381604696673189,2,2,2,1,1,0,9.333333333333334
mike,7,4,1,2,5,1,0,0,0.3888888888888889,0.3888888888888889,2,2,1,0,0,0,7.2
carl,13,2,2,3,1,1,0,4,0.6428571428571429,0.9285714285714286,1,1,1,0,0,0,11.333333333333334
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
