player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ev,23,10,4,11,2,0,1,1,0.6470588235294118,0,6,4,3,0,0,2,13.548387096774194
tariq,4,10,1,2,2,0,1,0,0.4,0,2,8,0,0,0,0,23.57142857142857
chris,14,13,13,7,0,0,2,0,0.35,0,5,8,0,0,3,1,8.571428571428571
kelo,27,1,10,6,2,3,1,6,0.5,0,0,1,2,1,0,4,5.232558139534884
eman,8,5,2,4,0,0,0,0,0.6666666666666666,0,2,3,0,1,0,0,18
pope,0,5,2,0,0,0,0,0,0,0,0,5,1,0,0,2,7.5
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheihk,10,3,1,0,3,3,1,1,0.6428571428571429,0,2,1,0,0,0,0,9.642857142857144
player6,9,1,2,0,5,3,0,0,0.45,0,1,0,0,0,0,2,0.8333333333333333
player2,21,3,4,0,4,7,0,0,0.7,0,2,1,0,0,0,1,7.5
player23,14,0,4,3,4,2,0,2,0.46153846153846156,0,0,0,0,1,0,4,1.7307692307692308
player0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
player14,10,3,2,3,2,0,0,4,0.42857142857142855,0,0,3,0,1,0,2,7.5
player1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-15
player3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,-7.5
team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiehk,6,3,0,1,2,0,0,4,0.3333333333333333,0,2,1,0,0,0,0,13.125
