player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
jared,2024-08-15,34,11,8,7,2,3,2,2,1,0.35714285714285715,3,5,0,0,1,1,2,0,6.136363636363637
eman's guy,2024-08-15,34,6,3,7,1,2,0,2,4,0.1,2,1,2,2,2,0,2,0,6
eman,2024-08-15,34,12,5,1,2,3,2,2,2,0.625,1,4,2,1,0,2,0,0,11.666666666666666
pope,2024-08-15,34,10,8,2,2,0,1,1,3,0.7,7,1,2,3,1,7,1,0,11.842105263157896
chosen,2024-08-15,34,7,5,7,3,2,0,4,1,0.25,5,0,0,3,1,2,0,0,4.166666666666667
cordell,2024-08-15,34,8,9,2,1,2,1,1,3,0.4166666666666667,0,9,1,2,1,2,0,0,16.07142857142857
