player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,1,1,2,0,4,0,1,1,0,0,1,0,0,0,0,0,-8.571428571428571
1,10,2,0,3,0,0,1,4,1,0,1,1,0,1,0,0,19.5
6,2,3,2,1,1,0,0,0,0.25,0,3,0,0,0,0,0,6
7,9,1,2,2,2,1,2,2,0.5,0,0,1,0,0,0,0,6.923076923076923
14,4,5,1,0,0,1,1,1,0.75,0,2,3,0,0,0,0,24
40,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15
nick,13,3,3,5,8,1,0,0,0.38235294117647056,0,0,3,4,0,0,4,2.678571428571429
pope,4,13,4,2,1,0,1,0,0.2857142857142857,0,5,8,4,2,0,1,25.5
chosen,6,2,4,1,2,1,1,1,0.3125,0,0,2,3,2,0,0,8.75
00,4,1,1,2,2,0,0,0,0.4,0,0,1,0,0,0,1,1.875
dom,20,8,2,6,3,2,2,2,0.6923076923076923,0,3,5,0,2,0,1,13.846153846153847
bandana,15,1,1,2,11,3,0,2,0.38235294117647056,0,1,0,0,0,0,0,2.2222222222222223
eman,2,3,0,1,0,0,0,0,1,0,0,3,3,2,0,2,30
jason,19,0,2,3,3,4,2,1,0.75,0,0,0,0,3,0,0,10.625
josh,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,-10
