player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,14,2,2,0,5,4,1,2,0.5454545454545454,0,0,2,0,0,0,0,6.428571428571428
5,2,1,3,1,2,0,0,0,0.16666666666666666,0,0,1,0,0,0,2,-6.666666666666666
30,6,1,3,2,0,0,0,2,0.4,0,0,1,0,0,0,1,4.5
35,3,3,0,1,0,0,3,1,1,0,0,3,0,0,0,0,30
40,6,3,5,3,1,0,0,0,0.3333333333333333,0,2,1,0,0,0,0,3.75
cheihk,4,2,0,2,3,0,0,0,0.4,0,1,1,1,0,0,2,3.333333333333333
dylan,10,6,3,1,4,1,1,5,0.2777777777777778,0,2,4,0,5,0,1,10.833333333333334
nate,5,2,0,1,4,1,0,0,0.4166666666666667,0,0,2,0,0,0,1,3
joey,13,3,3,2,6,2,1,3,0.38461538461538464,0,2,1,3,0,0,0,6.818181818181818
kelo,10,1,1,2,3,2,0,0,0.625,0,0,1,5,2,0,1,13
tariq,8,4,0,1,1,2,0,0,1,0,1,3,1,1,0,1,18
chris,19,9,8,9,0,0,2,1,0.5294117647058824,0,4,5,0,2,0,1,11.25
jacoby,6,3,7,3,2,0,0,0,0.25,0,3,0,0,0,0,0,0
pope,6,3,2,2,0,0,1,2,0.5,0,2,1,1,1,0,1,13.333333333333332
dom,6,8,6,3,1,0,0,0,0.3,0,4,4,4,1,0,1,11.785714285714285
cordell,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
