player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
trev,2024-08-21,23,15,2,3,3,2,3,0,0,0.6818181818181818,2,0,0,3,2,1,1,0,11.428571428571427
tyriq,2024-08-21,23,6,12,5,3,5,0,0,0,0.23076923076923078,5,7,3,1,0,3,0,0,7.105263157894736
cordell,2024-08-21,23,11,6,1,4,4,1,0,0,0.55,2,4,9,2,1,1,0,0,20.294117647058826
chris,2024-08-21,23,22,10,3,10,0,0,1,2,0.7692307692307693,2,8,2,2,1,2,1,0,17.77777777777778
jared,2024-08-21,23,6,4,4,1,1,1,1,1,0.35714285714285715,2,2,1,1,5,0,1,0,16.363636363636363
pope,2024-08-21,23,13,6,1,2,0,2,0,3,1,4,2,0,2,1,4,2,0,14.166666666666666
cordell's buddy,2024-08-21,23,0,2,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,-5
ryan,2024-08-21,23,0,3,3,0,3,0,2,0,0,1,2,2,1,0,0,1,0,0
chosen,2024-08-21,23,5,2,1,2,1,0,0,1,0.5,2,0,1,1,0,3,1,0,6
