player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
ev,2024-06-20,26,2,4,1,1,1,0,0,0,0.3333333333333333,0,4,3,2,0,4,0,0,9.375
pope,2024-06-20,26,4,6,2,2,2,0,2,0,0.3333333333333333,6,0,3,2,0,1,0,0,16.666666666666668
dom,2024-06-20,26,9,4,2,2,1,1,0,2,0.5833333333333334,0,4,2,0,1,0,0,0,16.25
dylan,2024-06-20,26,6,3,1,1,5,1,1,1,0.3125,2,1,1,1,2,0,0,0,8.75
trev,2024-06-20,26,13,4,3,2,6,3,0,0,0.4642857142857143,1,3,0,3,2,0,1,0,8.863636363636363
jared,2024-06-20,26,3,3,1,1,3,0,1,1,0.2,3,0,0,0,3,0,0,0,10.714285714285715
nick,2024-06-20,26,6,3,0,0,2,2,0,0,0.75,2,1,0,1,0,1,0,0,11.666666666666666
eman,2024-06-20,26,4,1,1,1,0,0,0,2,0.5,0,1,1,0,0,0,0,0,15
