player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
kelo,16,6,4,4,12,2,0,2,0.3181818181818182,0,1,5,1,2,0,3,2.5714285714285716
chris,30,11,9,12,2,0,4,6,0.5217391304347826,0,3,8,0,4,1,2,11.511627906976745
pope,2,7,4,0,1,0,1,2,0,0,2,5,6,2,0,2,16.666666666666668
tariq,2,4,2,1,2,0,0,0,0.2,0,0,4,0,1,1,1,6.428571428571428
eman,3,3,1,0,1,1,2,0,0.5,0,1,2,2,0,0,0,18
lil kelo,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,-11.25
2,0,2,2,0,7,0,0,0,0,0,0,2,0,0,0,1,-12
5,16,1,2,5,2,2,0,0,0.7272727272727273,0,0,1,0,0,1,1,9.285714285714286
11,14,2,0,0,3,3,1,5,0.75,0,1,1,0,0,0,0,11.470588235294116
30,2,2,1,1,1,0,1,0,0.3333333333333333,0,1,1,0,0,1,1,6
35,8,6,0,3,0,0,0,2,1,0,1,5,0,0,0,1,21.666666666666668
40,4,3,2,0,1,0,2,4,0,0,2,1,0,0,0,0,8.571428571428571
jacoby,19,7,7,4,6,3,2,2,0.425,0,2,5,0,0,0,1,5.454545454545455
chris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
