player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
chosen,3,2,0,1,0,0,1,1,1,0,1,1,0,1,0,1,18.75
tyriq,15,3,0,3,1,3,0,0,1.0714285714285714,0,0,3,1,2,0,0,18.75
nick,9,1,0,3,1,1,0,0,0.9,0,0,1,4,0,0,0,19.5
trev,5,3,2,1,2,1,0,0,0.4166666666666667,0,0,3,0,0,2,0,10
tariq,2,4,2,1,0,0,0,0,0.3333333333333333,0,1,3,0,0,0,2,5
pope,6,5,2,1,2,1,1,1,0.4166666666666667,0,1,4,0,0,0,3,4.615384615384616
1,2,0,1,1,5,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,-7.5
bigman,8,1,4,4,0,0,3,0,0.5,0,1,0,0,0,0,0,6.25
shooter,8,2,0,1,1,2,0,0,1,0,0,2,0,0,0,0,15
pos,8,2,3,2,2,1,0,1,0.4375,0,1,1,0,0,0,0,5.769230769230769
hair,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-15
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
