player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
pope,4,9,4,2,1,0,0,0,0.2857142857142857,0,4,5,3,2,0,4,10.384615384615385
chris,10,5,6,3,0,0,2,4,0.3333333333333333,0,1,4,4,5,1,0,17.8125
nick,15,4,3,3,1,3,0,0,0.75,0,0,4,1,1,0,0,13.421052631578947
jared,12,9,2,2,3,2,3,2,0.5555555555555556,0,4,5,1,0,2,1,15
tyriq,14,6,1,4,5,2,1,0,0.5833333333333334,0,0,6,2,2,0,0,13.5
eman,2,4,2,1,2,0,0,0,0.2,0,2,2,3,2,0,3,6.666666666666666
chosen,2,2,3,1,1,0,2,0,0.2,0,2,0,0,1,0,3,-3.333333333333333
0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,30
2,14,3,2,1,6,4,0,0,0.5384615384615384,0,0,3,0,0,0,0,6.136363636363637
5,12,3,4,3,1,1,1,3,0.5,0,0,3,0,0,0,0,8.823529411764707
11,12,0,5,1,5,3,1,1,0.39285714285714285,0,0,0,0,0,0,0,1.3636363636363638
30,2,1,5,1,1,0,0,0,0.14285714285714285,0,0,1,0,0,0,0,-5.625
40,7,3,1,2,1,0,1,3,0.5,0,2,1,0,0,0,0,13.333333333333332
nick,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
