player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
7,14,4,0,4,2,2,0,0,0.875,0,2,2,0,0,0,2,11.666666666666666
9,9,0,2,0,5,3,0,0,0.45,0,0,0,0,0,0,0,1.875
11,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,15
13,23,3,0,3,5,5,0,2,0.8076923076923077,0,0,3,0,0,0,0,11.25
23,9,3,3,2,5,1,0,2,0.3181818181818182,0,0,3,0,0,0,1,2.5
lengthy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
cheihk,18,8,4,4,2,1,0,7,0.5,0,3,5,2,2,0,3,11.666666666666666
ryan,14,4,5,2,1,3,1,1,0.5909090909090909,0,0,4,0,0,0,1,7.857142857142858
dylan,8,7,3,1,2,1,1,3,0.35714285714285715,0,1,6,1,1,0,1,11.785714285714285
kelo,7,0,6,2,7,1,0,0,0.21875,0,0,0,1,1,0,1,-3.571428571428571
3pt_made,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pope,3,5,3,1,1,0,1,1,0.2,0,3,2,1,1,0,2,6.666666666666666
tariq,4,5,2,2,4,0,0,0,0.25,0,2,3,0,0,0,0,4.5
ev,7,5,1,2,1,1,0,0,0.7,0,2,3,0,0,0,1,13.5
00,8,1,0,4,0,0,0,0,1,0,1,0,0,0,0,2,10.5
