Half,time,team,player,event,against,notes,half
1,1:19,0,ev,2pt_attempt,,,
1,1:20,0,pope,oreb,,,
1,1:27,0,dom,2pt_attempt,,,
1,1:50,1,headband,2pt_attempt,dom,,
1,2:00,1,0,2pt_made,,,
1,2:01,0,pope,assist,,,
1,2:03,0,dom,3pt_made,,,
1,2:30,0,dylan,block,,,
1,2:46,0,trev,steal,,,
1,2:50,0,trev,2pt_made,,,
1,3:06,0,ev,steal,,,
1,3:14,0,dylan,2pt_attempt,,,
1,4:05,1,headband,2pt_attempt,,,
1,4:07,0,trev,dreb,,,
1,4:11,0,trev,3pt_attempt,,,
1,4:12,0,dylan,oreb,,,
1,4:25,0,pope,2pt_attempt,,,
1,4:31,1,headband,3pt_attempt,,,
1,4:33,0,pope,oreb,,,
1,4:46,0,dylan,3pt_attempg,,,
1,4:47,0,pope,oreb,,,
1,5:00,0,dom,3pt_attempt,,,
1,5:18,1,headband,2pt_made,dom,,
1,5:35,0,trev,3pt_attempt,,,
1,5:47,1,headband,2pt_made,dom,,
1,6:07,0,dom,2pt_made,,,
1,6:20,0,pope,steal,,,
1,6:22,0,pope,2pt_made,,,
1,6:37,1,headband,2pt_attempt,,,
1,6:38,0,ev,dreb,,,
1,7:00,0,pope,ft_attempt,,,
1,7:10,0,pope,ft_attempt,,,
1,7:57,1,0,3pt_attempt,,,
1,7:58,0,dom,dreb,,,
1,8:15,0,,timeout,,,
1,9:17,0,dylan,3pt_attempt,,,
1,9:18,0,pope,oreb,,,
1,9:27,0,jared,3pt_attempt,,,
1,9:36,1,headband,3pt_made,jared,,
1,9:50,0,pope,turnover,,,
1,9:57,1,12,2pt_made,dom,,
1,10:09,0,dom,assist,,,
1,10:10,0,dylan,3pt_made,,,
1,10:56,1,0,2pt_made,nick,,
1,11:08,0,dylan,3pt_attempt,,,
1,11:20,1,12,2pt_attempt,,,
1,11:22,0,dom,dreb,,,
1,11:30,0,pope,3pt_attempt,,,
1,12:03,1,12,3pt_made,,,
1,12:14,0,ev,3pt_attempt,,,
1,12:41,0,trev,3pt_attempt,,,
1,13:08,0,trev,2pt_attempt,,,
1,13:17,1,12,2pt_made,jared,,
1,13:31,0,trev,2pt_attempt,,,
1,13:39,0,trev,block,,,
1,14:04,1,0,ft_made,,,
1,14:14,1,0,ft_made,,,
1,14:30,0,ev,turnover,,,
1,14:47,0,nick,steal,,,
1,14:53,0,jared,3pt_attempt,,,
1,15:05,0,jared,block,,,
1,15:12,0,trev,steal,,,
1,15:45,0,jared,ft_made,,,
1,16:05,0,jared,ft_attempt,,,
1,16:07,0,trev,oreb,,,
1,16:12,0,trev,3pt_made,,,
1,16:47,0,trev,dreb,,,
1,16:53,0,ev,assist,,,
1,16:54,0,jared,2pt_made,,,
