Half,time,team,player,event,against,notes
1,1.33,1,2,3pt_made,---,
1,1.45,0,trev,2pt_attempt,,
1,1.46,0,pope,oreb,,
1,1.49,0,pope,2pt_attempt,,
1,2.04,1,5,3pt_made,trev,
1,2.16,0,dylan,2pt_made,,
,2.32,0,pope,dreb,,
,2.44,0,ev,assist,,
,2.45,0,dylan,3pt_made,,
,3.10,0,ev,steal,,
,3.14,0,ev,2pt_made,,
,3.30,1,8,3pt_attempt,nik,
,3.31,0,pope,dreb,,
,3.57,0,pope,turnover,,bad call
,4.14,1,5,2pt_made,,
,4.25,0,trev,2pt_made,,
,4.45,1,11,3pt_made,ev,
,4.58,1,nik,3pt_attempt,,
,5.20,1,23,3pt_made,pope,tough shot
,5.30,0,ev,assist,,
,5.31,0,dylan,3pt_made,,
,5.47,0,ev,steal,,
,5.48,0,ev,assist,,
,5.49,0,dylan,2pt_made,,
,6.31,0,pope,steal,,
,6.36,0,trev,3pt_attempt,,"Chosen: ""Gotta be an NBA camera man.lol"""
,6.48,1,00,2pt_attempt,,
,6.49,0,trev,dreb,,
,6.57,0,trev,2pt_attempt,,
,6.58,0,pope,oreb,,
,7.00,0,pope,assist,,
,7.01,0,trev,2pt_made,,
,7.50,1,5,3pt_attempt,,
,7.51,1,11,oreb,,
,7.54,0,jared, block,,
,8.12,1,50,2pt_attempt,dylan,
,8.14,0,dylan,dreb,,
,8.40,0,dylan,ft_made,,
,8.50,0,dylan,ft_made,,
,9.10,0,jared,steal,,
,9.12,0,ev,assist,,
,9.13,0,chosen,2pt_made,,
,9.30,1,5,2pt_made,,
,9.37,0,ev,turnover,,
,9.41,1,0,2pt_attempt,,
,9.44,0,jared,dreb,,
,9.58,0,dylan,3pt_attempt,,
,10.22,0,dylan,steal,,
,10.43,0,jared, block,,
,10.55,0,dylan,steal,,
,10.59,0,dylan,assist,,
,11.00,0,ev,2pt_made,,
,12.28,0,chosen,2pt_attempt,,
,12.29,0,pope,oreb,,
,12.30,0,pope,2pt_attempt,,
,12.40,0,dylan,2pt_attempt,,
,12.49,1,11,3pt_made,dylan,
,13.30,0,pope,ft_made,,
,13.40,0,pope,ft_attempt,,
,13.59,1,8,3pt_attempt,,
,14.00,1,3,oreb,,
,14.04,1,11,3pt_made,,
,14.13,0,pope,2pt_attempt,,
,14.18,1,3,2pt_attempt,,
,14.19,0,jared,dreb,,
,14.25,0,dylan,assist,,
,14.26,0,dom,2pt_made,,
,15.03,1,5,ft_attempt,,
,15.10,1,5,ft_made,,
,15.43,0,dom,dreb,,bounced off pope's head
,15.49,0,jared,assist,,
,15.50,0,dylan,3pt_made,,
,16.15,1,5,3pt_made,,
,16.47,0,pope,assist,,
,16.48,0,dom,2pt_made,,
,17.10,1,30,turnover,,
,17.35,0,jared,2pt_attempt,,
,17.36,0,pope,oreb,,
,17.49,0,dom,3pt_attempt,,
,17.50,0,jared,oreb,,
,18.15,0,jared,ft_made,,
,18.30,0,jared,ft_made,,
,18.55,1,3,2pt_attempt,,
,18.58,1,8,3pt_attempt,,
,19.00,0,nik,dreb,,
,19.06,0,dom,2pt_attempt,,
,19.07,0,dom,oreb,,
,19.08,0,dom,2pt_made,,
,19.39,0,pope,2pt_made,,
,20.00,0,pope,ft_made,,
,20.28,1,8,ft_attempt,,
,20.40,1,8,ft_made,,
,20.40,0,ev,assist,,
,20.44,0,pope,2pt_made,,
,20.56,1,5,3pt_attempt,,
,20.57,0,pope,dreb,,
,21.00,0,pope,assist,,
,21.01,0,trev,2pt_made,,
,21.17,1,5,2pt_attempt,,
,21.19,0,dom,dreb,,
,21.30,0,dom,turnover,,
,21.38,1,5,3pt_made,,
,21.47,0,nik,assist,,
,21.48,0,dom,2pt_made,,
,22.02,1,5,2pt_attempt,,
,22.04,0,ev,dreb,,
,22.08,0,dom,3pt_attempt,,
,22.11,0,pope,oreb,,
,22.15,0,pope,assist,,
,22.16,0,nik,2pt_made,,
,22.31,1,23,3pt_attempt,,
,22.32,0,pope, block,,and missed call (foul)
,22.41,1,11,3pt_attempt,,
,22.42,0,trev,dreb,,
,22.48,0,dom,3pt_attempt,,
,22.49,1,5,dreb,,
2,0.27,0,chosen,2pt_attempt,,
,0.30,1,11,3pt_attempt,,
,0.36,0,ev,dreb,,
,1.10,0,ev,ft_made,,
,1.14,0,ev,ft_made,,
,1.32,1,23,3pt_attempt,,
,1.33,0,dylan,dreb,,
,1.39,0,dylan,3pt_attempt,,
,1.40,1,11,dreb,,
,1.44,1,8,2pt_attempt,,
,1.45,0,dylan,dreb,,
,1.51,0,ev,turnover,,
,1.57,1,8,2pt_made,,
,2.08,0,jared,3pt_attempt,,
,2.09,1,5,dreb,,
,2.27,1,23,2pt_made,nik,
,2.42,0,chosen,3pt_attempt,,
,2.43,0,ev,oreb,,
,2.44,0,ev,2pt_made,,
,2.57,1,5,2pt_attempt,,
,2.58,0,jared,dreb,,
,3.02,0,jared,2pt_made,,
,3.17,1,50,2pt_attempt,,
,3.18,0,jared,dreb,,
,3.24,0,chosen,turnover,,
,3.36,0,nik,steal,,dylan with the deflection
,3.43,0,chosen,2pt_made,,definitely a travel
,4.02,0,nik,steal,,
,4.03,0,nik,2pt_made,,
,4.17,0,dylan,steal,,
,4.38,0,dylan,3pt_attempt,,
,4.42,0,nik,assist,,
,4.43,0,dylan,3pt_made,,
,4.56,1,8,2pt_made,,
,5.05,0,nik,3pt_attempt,,
,5.06,1,50,dreb,,
,5.08,0,ev,steal,,
,5.17,0,jared,turnover,,
,5.22,0,chosen,steal,,
,5.27,0,nik,assist,,
,5.29,0,ev,3pt_made,,
,6.26,0,ev,steal,,
,6.30,0,ev,2pt_made,,
,6.45,1,5,2pt_made,,
,6.53,0,trev,2pt_attempt,,
,7.00,1,23,3pt_attempt,,
,7.01,0,dylan,dreb,,
,7.12,0,trev,2pt_attempt,,
,7.40,0,pope,steal,,
,7.42,0,pope,2pt_attempt,,
,7.43,0,pope,oreb,,
,7.46,0,pope,2pt_attempt,,
,7.53,1,5,2pt_made,,
,8.05,0,trev,3pt_attempt,,
,8.15,1,5,3pt_attempt,,
,8.17,0,ev,dreb,,
,8.27,0,dom,2pt_attempt,,
,8.31,0,trev,3pt_made,,
,8.50,1,3,2pt_made,,
,9.20,1,3,ft_made,,
,9.38,0,pope,steal,,
,9.42,0,trev,2pt_attempt,,smoked my killer pass... 
