Half,time,team,player,event,against,notes,half
,8:40,0,ev,2pt_made,,,
,8:53,0,ryan,steal,,,
,8:56,0,joey,3pt_attempt,,,
,9:04,1,9,2pt_attempt,,,
,9:05,1,00,2pt_made,,,
,9:41,0,ryan,ft_made,,,
,9:53,0,ryan,ft_made,,,
,10:00,1,mike,3pt_attempt,,,
,10:10,0,,subs,,,
,10:25,1,9,2pt_attempt,,,
,10:28,0,chris,dreb,,,
,10:34,0,kelo,3pt_attempt,,,
,10:54,0,jeff,block,,,
,10:55,0,joey,dreb,,,
,11:00,0,ryan,3pt_attempt,,,
,11:17,1,9,3pt_attempt,,,
,11:36,0,ryan,3pt_attempt,,,
,12:00,1,carl,foul,,,
,12:25,0,jeff,3pt_attempt,,,
,12:28,1,9,dreb,,,
,12:45,0,joey,foul,,,
,13:32,1,00,3pt_made,,,
,13:43,0,ryan,2pt_made,,,
,13:48,0,jeff,steal,,,
,15:25,0,dylan,ft_made,,,
,15:40,0,dylan,ft_made,,,
,15:53,1,mike,3pt_made,,,
,16:00,0,tariq,2pt_attempt,,,
,16:23,1,20,3pt_attempt,,,
,16:32,0,dylan,3pt_made,,,
,16:42,1,mike,3pt_attempt,,,
,16:43,1,20,oreb,,,
,16:44,1,20,2pt_made,,,
,16:59,0,dylan,3pt_attempt,,,
,17:07,1,00,3pt_made,,,
,17:44,0,kelo,3pt_made,,,
,17:53,0,chris ,steal,,,
,18:15,0,dylan,assist,,,
,18:16,0,chris,2pt_made,,,
,18:29,1,20,3pt_made,,,
,20:00,0,chris,ft_attempt,,,
,20:10,0,chris,ft_attempt,,,
,20:20,0,dylan,oreb,,,
,20:21,0,dylan,2pt_attempt,,,
,20:28,1,20,3pt_made,,,
,20:36,0,ryan,assist,,,
,20:38,0,chris,2pt_made,,,
,20:52,0,mike,3pt_made,,,
,22:00,0,dylan,ft_attempt,,,
,22:07,1,carl,2pt_made,,,
,0:34,0,ev,ft_attempt,,,
,1:38,0,dylan,ft_attempt,,,
,1:50,0,dylan,ft_made,,,
,2:00,,,game_over,,,
