player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ryan,14,5,0,2,4,3,1,1,0.7222222222222222,0.7415254237288136,1,4,1,0,0,2,10.5
evan,14,5,5,3,7,2,0,2,0.35294117647058826,0.4117647058823529,3,2,0,1,2,1,5
chris,10,9,9,4,0,0,2,2,0.3076923076923077,0.36023054755043227,2,7,0,0,0,0,7.894736842105263
pope,4,13,4,2,1,0,0,0,0.2857142857142857,0.2857142857142857,2,11,3,1,0,3,20
chosen,3,6,3,1,2,0,3,1,0.16666666666666666,0.20491803278688525,1,5,0,0,0,2,3
tyriq,12,9,4,2,7,2,0,2,0.3333333333333333,0.4,2,7,2,0,0,3,5.1923076923076925
4,9,1,6,3,5,1,2,0,0.3,0.28337531486146095,0,1,1,0,0,0,0
17,7,2,3,2,0,1,1,0,0.5833333333333334,0.5434782608695652,0,2,1,0,1,1,9.545454545454545
mike,8,3,2,1,9,2,0,0,0.2857142857142857,0.2857142857142857,2,1,0,0,1,1,0
pete,28,7,3,7,6,2,1,8,0.5555555555555556,0.7592190889370932,1,6,2,0,3,1,11.842105263157896
mitch,9,5,3,0,4,1,0,6,0.1875,0.5625,1,4,1,1,0,1,7.0588235294117645
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
