player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
tariq,8,4,0,4,0,0,0,0,1,0,2,2,1,0,0,3,13.636363636363637
tc,10,12,5,3,6,1,0,1,0.3,0,1,11,4,5,0,0,14.285714285714285
jeff,2,4,1,1,1,0,0,0,0.3333333333333333,0,3,1,1,1,1,0,26.25
dylan,9,7,2,3,2,1,0,0,0.5625,0,0,7,0,2,0,0,16.153846153846153
kelo,11,2,2,1,9,3,2,0,0.36666666666666664,0,2,0,1,0,0,1,1.3043478260869565
pope,0,3,2,0,2,0,0,0,0,0,1,2,1,0,0,0,0
ryan,2,3,0,1,2,0,0,0,0.3333333333333333,0,0,3,3,1,0,2,12.5
chris,13,8,3,6,0,0,1,1,0.6666666666666666,0,5,3,1,2,0,0,19.6875
riqq,14,2,0,0,3,4,0,2,0.8571428571428571,0,0,2,0,2,0,2,10.263157894736842
chosen,2,2,1,1,2,0,0,0,0.25,0,0,2,0,0,0,0,3
7,21,2,4,3,3,5,0,0,0.7,0,1,1,0,1,0,2,7.5
10,14,0,6,3,7,2,1,2,0.3333333333333333,0,0,0,0,0,0,1,0
24,2,4,1,1,2,0,0,0,0.25,0,2,2,1,1,0,1,10
30,3,1,3,1,4,0,1,1,0.125,0,1,0,0,0,1,0,-3
ivan,4,4,1,0,7,1,0,1,0.16666666666666666,0,0,4,3,1,0,4,0
00,10,0,0,0,3,3,1,1,0.75,0,0,0,1,0,0,2,6
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
