player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
kelo,10,2,7,3,6,1,1,1,0.2647058823529412,0.286697247706422,1,1,5,1,0,0,3.789473684210526
pope,8,5,0,4,0,0,3,0,1,0.7518796992481203,0,5,1,2,0,1,30.4
chosen,1,4,0,0,2,0,1,1,0,0.20491803278688525,0,4,0,1,0,3,1.3333333333333333
dylan,16,13,3,4,2,1,2,5,0.55,0.7352941176470588,6,7,0,4,0,1,15.058823529411764
riqq,4,3,1,2,3,0,0,0,0.3333333333333333,0.3333333333333333,0,3,2,4,0,0,14.666666666666666
chris,12,10,5,5,0,0,0,2,0.5,0.6,5,5,0,0,0,0,14.666666666666666
tyriq,13,1,3,3,5,2,1,1,0.46153846153846156,0.4836309523809524,0,1,0,2,0,1,5.647058823529412
