player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
tyriq,22,9,1,7,3,2,3,2,0.7692307692307693,0,1,8,1,3,1,1,17.22222222222222
dylan,10,10,4,4,2,0,0,2,0.4,0,3,7,1,1,1,1,14.117647058823529
chris,11,6,5,5,0,0,0,1,0.5,0,4,2,2,3,0,1,14.117647058823529
pope,2,4,2,1,0,0,0,0,0.3333333333333333,0,1,3,0,2,0,1,15
tc,23,1,5,8,4,2,1,1,0.5789473684210527,0,1,0,4,1,0,0,9.375
riqq,2,1,0,1,3,0,0,0,0.25,0,1,0,0,0,0,0,0
chosen,0,5,1,0,0,0,0,0,0,0,2,3,0,0,0,2,10
kelo,7,1,6,1,3,1,0,2,0.22727272727272727,0,0,1,1,2,0,1,0.8823529411764706
1,3,4,0,0,3,1,0,0,0.375,0,1,3,0,0,0,1,6.428571428571428
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,-15
7,22,2,1,2,6,6,0,0,0.7333333333333333,0,0,2,0,0,1,0,9.310344827586206
23,18,2,0,2,7,4,0,2,0.6153846153846154,0,1,1,0,0,0,3,5.357142857142858
30,23,2,4,1,6,7,0,0,0.6388888888888888,0,0,2,0,0,0,1,6.1764705882352935
00,5,1,0,1,0,1,0,0,1.25,0,0,1,0,0,1,0,21
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
