player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
tariq,10,6,0,4,3,0,1,2,0.5714285714285714,0.6720430107526881,2,4,4,1,0,1,16.8
dylan,5,0,0,1,2,1,0,0,0.625,0.625,0,0,1,1,1,0,12.8
chosen,2,1,1,1,0,0,0,0,0.5,0.5,1,0,0,0,0,0,12
kelo,12,1,1,3,4,2,0,0,0.6,0.6,0,1,2,0,0,0,10
chris,12,6,3,6,0,0,2,0,0.6666666666666666,0.6072874493927125,4,2,1,0,1,0,20.444444444444443
ryan,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1,32
jeff,7,2,0,2,2,1,0,0,0.7,0.7,0,2,0,1,2,0,17.333333333333332
zach,3,1,2,0,0,1,0,0,0.5,0.5,0,1,1,0,0,0,8
