player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
chris,16,11,3,8,0,0,0,0,0.7272727272727273,0.7272727272727273,1,10,3,5,2,0,30.545454545454547
riqq,3,2,2,0,5,1,0,0,0.1875,0.1875,0,2,1,1,0,1,0
tc,27,10,3,6,3,4,1,3,0.75,0.8211678832116788,2,8,6,4,2,4,14.518518518518519
dylan,8,6,3,2,1,1,0,1,0.5,0.5714285714285714,2,4,0,0,2,0,13.333333333333334
tariq,16,3,3,2,2,3,1,3,0.65,0.7662835249042146,2,1,2,0,1,1,9.882352941176471
pope,3,1,1,0,1,1,0,0,0.5,0.5,0,1,1,1,1,1,8
kelo,15,1,2,4,1,1,0,4,0.6875,0.9375,0,1,3,0,0,1,11.428571428571429
ryan,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,-8
