player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
tariq,10,6,0,4,3,0,1,2,0.5714285714285714,0,2,4,4,1,0,1,18.21428571428571
dylan,5,0,0,1,2,1,0,0,0.625,0,0,0,1,1,1,0,12.857142857142856
chosen,2,1,1,1,0,0,0,0,0.5,0,1,0,0,0,0,0,10
kelo,12,1,1,3,4,2,0,0,0.6,0,0,1,2,0,0,0,8.823529411764707
chris,12,6,3,6,0,0,2,0,0.6666666666666666,0,4,2,1,0,1,0,17
ryan,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1,60
jeff,7,2,0,2,2,1,0,0,0.7,0,0,2,0,1,2,0,16.666666666666668
zach,3,1,2,0,0,1,0,0,0.5,0,0,1,1,0,0,0,9
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
