player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
7,21,2,4,3,3,5,0,0,0.7,0.7,1,1,0,1,0,2,8.363636363636363
10,14,0,6,3,7,2,1,2,0.3333333333333333,0.3796095444685466,0,0,0,0,0,1,1.7391304347826086
24,2,4,1,1,2,0,0,0,0.25,0.25,2,2,1,1,0,1,8
30,3,1,3,1,4,0,1,1,0.125,0.17772511848341233,1,0,0,0,1,0,-0.8888888888888888
ivan,4,4,1,0,7,1,0,1,0.16666666666666666,0.2222222222222222,0,4,3,1,0,4,0.5333333333333333
00,10,0,0,0,3,3,1,1,0.75,0.7763975155279502,0,0,1,0,0,2,6
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
