player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
1,13,4,1,0,6,3,0,4,0.45,0.65,1,3,5,0,0,0,8.470588235294118
33,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37,15,5,5,4,5,2,2,1,0.4375,0.4443127962085308,0,5,3,0,1,1,7.6
mike,19,4,0,1,6,5,0,2,0.7083333333333334,0.7916666666666666,0,4,0,1,0,0,10.105263157894736
q,3,2,1,0,0,1,0,0,0.75,0.75,0,2,0,0,1,1,10
carl,15,0,3,5,0,0,0,5,0.625,0.9375,0,0,0,0,0,0,10.461538461538462
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
