player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
kelo,10,2,7,3,6,1,1,1,0.2647058823529412,0,1,1,5,1,0,0,3.260869565217391
pope,8,5,0,4,0,0,3,0,1,0,0,5,1,2,0,1,25
chosen,1,4,0,0,2,0,1,1,0,0,0,4,0,1,0,3,2.5
dylan,16,13,3,4,2,1,2,5,0.55,0,6,7,0,4,0,1,18.40909090909091
riqq,4,3,1,2,3,0,0,0,0.3333333333333333,0,0,3,2,4,0,0,16.875
chris,12,10,5,5,0,0,0,2,0.5,0,5,5,0,0,0,0,15
tyriq,13,1,3,3,5,2,1,1,0.46153846153846156,0,0,1,0,2,0,1,4.7727272727272725
3,19,1,0,2,5,5,0,0,0.7916666666666666,0,0,1,0,1,1,1,9.6
6,7,5,2,2,5,1,0,0,0.35,0,2,3,0,0,0,4,0.8333333333333333
dante,13,3,2,2,7,3,0,0,0.4642857142857143,0,0,3,0,0,0,0,4.7727272727272725
dom,14,3,3,4,3,2,0,0,0.5833333333333334,0,1,2,6,0,1,3,9.782608695652174
00,6,2,0,0,1,2,0,0,1,0,0,2,2,0,0,1,15
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
