player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
chris,16,11,3,8,0,0,0,0,0.7272727272727273,0,1,10,3,5,2,0,26.842105263157894
riqq,3,2,2,0,5,1,0,0,0.1875,0,0,2,1,1,0,1,-1.3636363636363638
tc,27,10,3,6,3,4,1,3,0.75,0,2,8,6,4,2,4,15.810810810810809
dylan,8,6,3,2,1,1,0,1,0.5,0,2,4,0,0,2,0,15
tariq,16,3,3,2,2,3,1,3,0.65,0,2,1,2,0,1,1,10.90909090909091
pope,3,1,1,0,1,1,0,0,0.5,0,0,1,1,1,1,1,10
kelo,15,1,2,4,1,1,0,4,0.6875,0,0,1,3,0,0,1,11.842105263157896
ryan,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,-15
2,7,4,4,2,3,1,1,0,0.35,0,1,3,1,1,0,3,2.647058823529412
24,15,2,4,6,1,1,0,0,0.625,0,2,0,0,0,1,0,9.75
00,16,5,2,6,6,1,0,1,0.5,0,2,3,1,2,0,4,6.428571428571428
jason,8,4,3,4,1,0,0,0,0.5,0,2,2,4,1,0,4,8.4375
shooter,10,4,5,2,5,2,0,0,0.35714285714285715,0,0,4,0,0,0,0,3
jacoby,16,6,5,5,3,2,0,0,0.5333333333333333,0,2,4,0,0,0,1,7.800000000000001
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
