player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
3,19,1,0,2,5,5,0,0,0.7916666666666666,0.7916666666666666,0,1,0,1,1,1,10.222222222222221
6,7,5,2,2,5,1,0,0,0.35,0.35,2,3,0,0,0,4,2.1333333333333333
dante,13,3,2,2,7,3,0,0,0.4642857142857143,0.4642857142857143,0,3,0,0,0,0,5.647058823529412
dom,14,3,3,4,3,2,0,0,0.5833333333333334,0.5833333333333334,1,2,6,0,1,3,9.882352941176471
00,6,2,0,0,1,2,0,0,1,1,0,2,2,0,0,1,13.333333333333334
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
