player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
4,9,1,6,3,5,1,2,0,0.3,0.28337531486146095,0,1,1,0,0,0,2
17,7,2,3,2,0,1,1,0,0.5833333333333334,0.5434782608695652,0,2,1,0,1,1,10
mike,8,3,2,1,9,2,0,0,0.2857142857142857,0.2857142857142857,2,1,0,0,1,1,1.411764705882353
pete,28,7,3,7,6,2,1,8,0.5555555555555556,0.7592190889370932,1,6,2,0,3,1,10.758620689655173
mitch,9,5,3,0,4,1,0,6,0.1875,0.5625,1,4,1,1,0,1,4.5
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
