player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
jeff,5,2,2,2,1,0,1,1,0.4,0.45955882352941174,2,0,0,0,1,0,9.333333333333334
tc,18,2,3,2,3,4,0,2,0.6666666666666666,0.75,1,1,1,0,2,1,9.263157894736842
kelo,10,1,1,1,2,2,0,2,0.6666666666666666,0.8333333333333334,0,1,2,0,0,2,7.333333333333333
dylan,6,6,0,2,1,0,0,2,0.6666666666666666,1,1,5,0,2,1,0,25.6
tariq,8,8,0,1,7,2,0,0,0.4,0.4,0,8,4,1,0,1,9.846153846153847
pope,6,3,2,1,1,1,1,1,0.5,0.551470588235294,2,1,2,1,0,1,10
chris,10,5,3,5,0,0,1,0,0.625,0.5924170616113744,4,1,2,0,1,0,20
eman,2,2,2,1,0,0,0,0,0.3333333333333333,0.3333333333333333,0,2,1,0,0,0,10.666666666666666
riqq,6,3,2,3,0,0,0,0,0.6,0.6,0,3,1,1,0,0,19.2
chosen,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
