player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
cheihk,2024-07-10,23,4,2,0,2,3,0,0,0,0.4,1,1,1,0,1,2,0,0,5
dylan,2024-07-10,23,10,6,3,1,4,1,1,5,0.2777777777777778,2,4,0,5,0,1,2,0,10.833333333333334
joey,2024-07-10,23,13,3,3,2,6,2,1,3,0.38461538461538464,2,1,3,0,4,0,0,0,9.545454545454545
kelo,2024-07-10,23,10,1,1,2,3,2,0,0,0.625,0,1,5,2,0,1,0,0,13
tariq,2024-07-10,23,8,4,0,1,1,2,0,0,1,1,3,1,1,0,1,0,0,18
chris,2024-07-10,23,19,9,8,9,0,0,2,1,0.5294117647058824,4,5,0,2,2,1,0,0,12.321428571428571
pope,2024-07-10,23,6,3,2,2,0,0,1,2,0.5,2,1,1,1,0,1,1,0,13.333333333333332
dom,2024-07-10,23,6,8,6,3,1,0,0,0,0.3,4,4,4,1,0,1,0,0,11.785714285714285
cordell,2024-07-10,23,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
