player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
pope,4,7,3,1,3,0,0,2,0.14285714285714285,0.2857142857142857,3,4,2,4,0,1,8.8
ev,18,10,3,5,1,2,0,2,0.7272727272727273,0.8181818181818182,3,7,4,2,1,1,18.5
kelo,32,5,8,5,8,5,0,7,0.4807692307692308,0.6153846153846154,3,2,2,2,0,0,7.368421052631579
eli,8,4,6,2,7,1,1,1,0.21875,0.24330900243309,1,3,3,2,0,6,0.3333333333333333
tariq,11,5,0,4,4,1,0,0,0.6111111111111112,0.6111111111111112,1,4,0,1,0,1,12.363636363636363
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
