player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
kelo,2024-07-31,26,12,6,9,3,4,2,0,0,0.3333333333333333,0,6,6,0,0,0,0,0,6.6
cheihk,2024-07-31,26,17,7,2,5,3,1,0,4,0.5909090909090909,1,6,5,0,1,1,0,0,15.652173913043478
chris,2024-07-31,26,16,11,5,8,0,0,0,0,0.6153846153846154,4,7,1,1,2,1,1,0,17.045454545454547
dom,2024-07-31,26,11,10,3,4,2,1,0,0,0.55,1,9,1,1,0,0,0,0,16.875
norm,2024-07-31,26,4,4,5,2,0,0,0,0,0.2857142857142857,2,2,0,0,0,1,0,0,3
pope,2024-07-31,26,11,2,2,4,0,1,0,0,0.7857142857142857,0,2,2,0,1,1,3,0,13.928571428571429
josh,2024-07-31,26,2,1,1,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,10
tariq,2024-07-31,26,7,4,0,2,1,1,0,0,0.875,0,4,2,1,0,0,1,0,24.375
