player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
cheihk,10,3,1,0,3,3,1,1,0.6428571428571429,0.6720430107526881,2,1,0,0,0,0,8.727272727272727
player6,9,1,2,0,5,3,0,0,0.45,0.45,1,0,0,0,0,2,2.1333333333333333
player2,21,3,4,0,4,7,0,0,0.7,0.7,2,1,0,0,0,1,7.6521739130434785
player23,14,0,4,3,4,2,0,2,0.46153846153846156,0.5384615384615384,0,0,0,1,0,4,3.0476190476190474
player0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
player14,10,3,2,3,2,0,0,4,0.42857142857142855,0.7142857142857143,0,3,0,1,0,2,6.769230769230769
player1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
player3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,-4
team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiehk,6,3,0,1,2,0,0,4,0.3333333333333333,1,2,1,0,0,0,0,9.142857142857142
