player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
cheihk,2024-07-03,30,7,4,1,2,5,1,1,0,0.3888888888888889,1,3,2,1,1,2,0,0,7
dylan,2024-07-03,30,13,7,2,1,3,2,0,5,0.5,3,4,1,1,2,2,0,0,12.75
kelo,2024-07-03,30,30,4,2,5,7,6,0,2,0.7,0,4,3,0,0,2,0,0,9.512195121951219
tyriq,2024-07-03,30,10,3,1,2,1,2,0,0,0.8333333333333334,1,2,0,1,0,0,0,0,15
cordell,2024-07-03,30,6,7,5,3,0,0,2,0,0.375,0,7,1,0,1,2,0,0,9.230769230769232
pope,2024-07-03,30,3,3,1,1,1,0,1,1,0.3333333333333333,0,3,2,0,0,3,0,0,5.625
eman,2024-07-03,30,4,1,2,2,0,0,0,0,0.5,0,1,1,0,0,1,0,0,6.428571428571428
