player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2,3,0,0,0,0,1,0,0,1.5,1.5,0,0,0,0,0,0,16
3,10,1,2,3,0,1,0,1,0.75,0.8333333333333334,1,0,0,0,0,0,13
5,18,2,3,4,5,3,1,1,0.5666666666666667,0.5829015544041452,0,2,0,0,0,0,8
8,5,1,1,2,3,0,1,1,0.3333333333333333,0.3881987577639751,1,0,0,0,0,0,4.571428571428571
11,19,2,1,0,4,6,1,1,0.8181818181818182,0.8304195804195804,1,1,0,0,0,0,9.777777777777779
23,9,0,0,3,4,1,0,0,0.5625,0.5625,0,0,0,0,0,0,8
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8
50,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-4
nick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
