player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
2,0,2,2,0,7,0,0,0,0,0,0,2,0,0,0,1,-6.4
5,16,1,2,5,2,2,0,0,0.7272727272727273,0.7272727272727273,0,1,0,0,1,1,11.428571428571429
11,14,2,0,0,3,3,1,5,0.75,1.0869565217391304,1,1,0,0,0,0,9.142857142857142
30,2,2,1,1,1,0,1,0,0.3333333333333333,0.29069767441860467,1,1,0,0,1,1,6
35,8,6,0,3,0,0,0,2,1,1.3333333333333333,1,5,0,0,0,1,21.333333333333332
40,4,3,2,0,1,0,2,4,0,0.5154639175257733,2,1,0,0,0,0,4.571428571428571
jacoby,19,7,7,4,6,3,2,2,0.425,0.4549808429118774,2,5,0,0,0,1,5.846153846153846
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
