player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
pope,4,9,4,2,1,0,0,0,0.2857142857142857,0.2857142857142857,4,5,3,2,0,4,8
chris,10,5,6,3,0,0,2,4,0.3333333333333333,0.5060728744939271,1,4,4,5,1,0,13.538461538461538
nick,15,4,3,3,1,3,0,0,0.75,0.75,0,4,1,1,0,0,14.153846153846153
jared,12,9,2,2,3,2,3,2,0.5555555555555556,0.5813953488372093,4,5,1,0,2,1,12.571428571428571
tyriq,14,6,1,4,5,2,1,0,0.5833333333333334,0.5627009646302251,0,6,2,2,0,0,13.714285714285714
eman,2,4,2,1,2,0,0,0,0.2,0.2,2,2,3,2,0,3,5
chosen,2,2,3,1,1,0,2,0,0.2,0.17006802721088435,2,0,0,1,0,3,-1
