player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
1,11,1,2,1,4,3,0,0,0.55,0.55,0,1,0,0,0,0,6.153846153846154
5,14,2,3,3,4,2,0,2,0.5,0.5833333333333334,0,2,0,0,0,0,7
11,2,1,1,1,2,0,0,0,0.25,0.25,0,1,0,0,0,0,2
14,3,0,0,0,0,1,0,0,1.5,1.5,0,0,0,0,0,0,16
22,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23,11,0,0,1,2,3,0,0,0.9166666666666666,0.9166666666666666,0,0,0,0,0,0,11.555555555555555
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
29,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8
50,7,3,1,2,0,0,1,3,0.6666666666666666,1.0174418604651163,1,2,0,0,0,2,9
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8
bald guy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
