player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
player1,3,4,3,0,6,1,0,0,0.15,0.15,0,4,0,0,0,0,-0.7272727272727273
player4,17,2,2,0,9,5,4,2,0.46875,0.47860360360360354,1,1,0,0,0,0,4.521739130434782
jacoby,8,7,9,4,8,0,0,0,0.19047619047619047,0.19047619047619047,3,4,0,0,0,2,0
player7,4,4,0,2,1,0,1,0,0.6666666666666666,0.5813953488372093,0,4,0,2,0,1,20
ivan,16,6,1,0,5,4,1,4,0.6,0.7662835249042146,2,4,1,1,0,0,9.777777777777779
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
player6,3,2,3,0,5,1,0,0,0.16666666666666666,0.16666666666666666,2,0,0,0,0,3,-3.076923076923077
