player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ev,13,15,6,5,2,1,0,0,0.4642857142857143,0.4642857142857143,4,11,3,0,0,1,14
ryan,12,2,3,2,0,2,0,2,0.7142857142857143,0.8571428571428571,2,0,1,0,0,1,10
tariq,8,3,3,1,6,2,0,0,0.3333333333333333,0.3333333333333333,1,2,3,2,0,1,4.8
kelo,13,4,1,2,3,3,0,0,0.7222222222222222,0.7222222222222222,1,3,3,1,0,3,10.133333333333333
dylan,3,3,2,0,1,0,1,3,0,0.436046511627907,1,2,1,1,0,1,4.571428571428571
pope,3,8,1,0,0,1,0,0,0.75,0.75,2,6,2,2,0,2,20.8
eman,7,3,1,2,0,1,0,0,0.875,0.875,1,2,1,0,0,3,10
chris,18,10,2,8,0,0,0,2,0.8,0.9,6,4,2,4,2,1,25.23076923076923
joey,5,8,2,1,2,1,0,0,0.4166666666666667,0.4166666666666667,1,7,0,1,0,2,8.88888888888889
jeff,4,5,4,2,5,0,0,0,0.18181818181818182,0.18181818181818182,1,4,0,2,0,2,1.2307692307692308
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
