player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
player3,21,9,7,9,1,1,0,0,0.5833333333333334,0.5833333333333334,6,3,0,0,0,1,12.4
bryce,14,3,0,1,11,4,0,0,0.4375,0.4375,1,2,0,0,1,1,4.190476190476191
bryan,31,1,1,6,3,6,1,1,0.9375,0.9428223844282237,0,1,1,1,0,2,12.8
alex,3,0,0,0,1,1,0,0,0.75,0.75,0,0,0,0,0,1,4
doug,2,1,4,0,2,0,0,2,0,0.16666666666666666,0,1,0,1,0,1,-2.6666666666666665
player55,3,1,1,0,3,1,0,0,0.3,0.3,0,1,0,0,0,0,1.3333333333333333
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byran,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
