player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
trev,13,3,7,5,4,1,0,0,0.38235294117647056,0.38235294117647056,1,2,1,3,2,3,5.333333333333333
pope,6,10,7,2,0,0,1,2,0.2222222222222222,0.31779661016949157,6,4,4,4,1,2,11.076923076923077
dylan,18,4,1,2,4,4,0,2,0.7272727272727273,0.8181818181818182,0,4,2,3,0,0,13.176470588235293
ev,18,5,0,5,0,2,0,2,1.1428571428571428,1.2857142857142858,1,4,5,4,0,5,17
jared,8,5,1,3,1,0,0,2,0.6,0.8,1,4,1,2,2,1,18
chosen,4,2,2,2,2,0,0,0,0.3333333333333333,0.3333333333333333,0,2,0,1,0,2,3
dom,8,5,4,4,4,0,0,0,0.3333333333333333,0.3333333333333333,3,2,0,0,0,1,4.923076923076923
nick,6,6,0,3,3,0,0,0,0.5,0.5,3,3,5,4,0,3,16
