player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
0,2024-09-11,26,3,0,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,15
tyriq,2024-09-11,26,28,9,3,8,9,3,1,3,0.5434782608695652,4,5,5,7,0,6,1,0,10.108695652173912
joey,2024-09-11,26,8,8,1,1,3,2,0,0,0.5714285714285714,0,8,4,0,1,0,0,0,21.25
pope,2024-09-11,26,4,8,2,2,4,0,0,0,0.25,2,6,2,1,0,5,2,0,4
eman,2024-09-11,26,13,5,0,1,3,3,0,2,0.7857142857142857,2,3,2,1,0,1,0,0,15
nick,2024-09-11,26,10,6,3,2,7,2,0,0,0.35714285714285715,2,4,2,1,0,1,0,0,5.7142857142857135
dom,2024-09-11,26,23,11,2,6,0,3,0,2,0.9545454545454546,6,5,3,2,0,2,1,0,19.444444444444443
chosen,2024-09-11,26,6,1,0,1,1,1,1,1,0.8333333333333334,0,1,1,0,0,0,0,0,15
