player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
0,2024-08-28,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-15
pope,2024-08-28,26,4,9,4,2,1,0,0,0,0.2857142857142857,4,5,3,2,0,4,1,0,10.384615384615385
chris,2024-08-28,26,10,5,6,3,0,0,2,4,0.3333333333333333,1,4,4,5,1,0,2,0,17.8125
nick,2024-08-28,26,15,4,3,3,1,3,0,0,0.75,0,4,1,1,0,0,0,0,13.421052631578947
jared,2024-08-28,26,12,9,2,2,3,2,3,2,0.5555555555555556,4,5,1,0,2,1,1,0,15
tyriq,2024-08-28,26,14,6,1,4,5,2,1,0,0.5833333333333334,0,6,2,2,0,0,1,0,13.5
eman,2024-08-28,26,2,4,2,1,2,0,0,0,0.2,2,2,3,2,0,3,0,0,6.666666666666666
chosen,2024-08-28,26,2,2,3,1,1,0,2,0,0.2,2,0,0,1,0,3,0,0,-3.333333333333333
