player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
kelo,2024-08-14,34,16,6,4,4,12,2,0,2,0.3181818181818182,1,5,1,2,0,3,0,0,2.5714285714285716
chris,2024-08-14,34,30,11,9,12,2,0,4,6,0.5217391304347826,3,8,0,4,1,3,2,0,10.90909090909091
pope,2024-08-14,34,2,7,4,0,1,0,1,2,0,2,5,6,2,0,2,3,0,16.666666666666668
tariq,2024-08-14,34,2,4,2,1,2,0,0,0,0.2,0,4,0,1,1,1,1,0,6.428571428571428
eman,2024-08-14,34,3,3,1,0,1,1,2,0,0.5,1,2,2,0,0,0,2,0,18
lil kelo,2024-08-14,34,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,-11.25
