player,game,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER
chosen,2024-08-22,34,3,2,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,18.75
tyriq,2024-08-22,34,15,3,0,3,1,3,0,0,1.0714285714285714,0,3,1,2,0,0,0,0,18.75
nick,2024-08-22,34,9,1,0,3,1,1,0,0,0.9,0,1,4,0,0,0,0,0,19.5
trev,2024-08-22,34,5,3,2,1,2,1,0,0,0.4166666666666667,0,3,0,0,2,0,0,0,10
tariq,2024-08-22,34,2,4,2,1,0,0,0,0,0.3333333333333333,1,3,0,0,0,2,0,0,5
pope,2024-08-22,34,6,5,2,1,2,1,1,1,0.4166666666666667,1,4,0,0,0,3,1,0,4.615384615384616
