player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
1,4,2,1,2,4,0,0,0,0.2857142857142857,0.2857142857142857,1,1,1,0,0,1,3
8,3,1,0,0,0,1,0,0,1.5,1.5,0,1,0,0,0,0,20
9,4,3,3,1,4,0,0,2,0.125,0.25,1,2,0,0,0,0,0.8
20,18,1,2,2,2,4,1,2,0.8,0.8620689655172414,1,0,0,0,0,0,10.5
33,2,1,2,1,0,0,0,0,0.3333333333333333,0.3333333333333333,1,0,0,0,0,0,5.333333333333333
carl,12,1,3,4,1,1,0,1,0.6111111111111112,0.6666666666666666,1,0,0,0,0,0,10.181818181818182
mike,13,0,0,2,6,3,0,0,0.5909090909090909,0.5909090909090909,0,0,0,0,0,0,6.857142857142857
00,10,0,1,2,1,2,0,0,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,12
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8
