player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ev,12,6,6,5,3,0,0,2,0.35714285714285715,0.42857142857142855,2,4,1,1,2,0,9
dylan,2,7,2,0,3,0,0,2,0,0.2,1,6,0,2,0,0,8
kelo,15,6,3,2,5,3,1,2,0.5,0.5580357142857143,0,6,0,1,0,3,6.095238095238095
ryan,7,5,0,2,2,1,0,0,0.7,0.7,1,4,2,1,0,2,15
jeff,13,6,3,4,4,1,0,2,0.4583333333333333,0.5416666666666666,3,3,0,0,1,1,8.5
pope,0,6,1,0,1,0,0,0,0,0,3,3,3,0,0,2,12
eman,7,3,3,3,0,0,0,1,0.5,0.5833333333333334,2,1,0,0,0,2,7.111111111111111
joey,5,4,2,1,4,1,0,0,0.3125,0.3125,1,3,2,0,0,0,7.111111111111111
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tariq,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
