player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,20,1,3,4,5,4,0,0,0.625,0.625,0,1,0,0,0,0,8.4
7,9,0,0,0,4,3,0,0,0.6428571428571429,0.6428571428571429,0,0,0,0,0,0,6.4
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
13,25,3,6,5,7,1,2,12,0.34210526315789475,0.6287726358148894,1,2,0,0,0,0,5.25
73,3,1,0,0,0,1,0,0,1.5,1.5,0,1,0,0,0,0,20
729,7,0,0,0,4,2,1,1,0.5,0.5434782608695652,0,0,0,0,0,0,4.444444444444445
00,4,1,1,1,4,0,0,2,0.16666666666666666,0.3333333333333333,1,0,0,0,0,0,1
