player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,1,1,2,0,4,0,1,1,0,0.07763975155279502,1,0,0,0,0,0,-4.571428571428571
1,10,2,0,3,0,0,1,4,1,1.4534883720930232,1,1,0,1,0,0,18.285714285714285
6,2,3,2,1,1,0,0,0,0.25,0.25,3,0,0,0,0,0,6
7,9,1,2,2,2,1,2,2,0.5,0.5710659898477157,0,1,0,0,0,0,7.2
14,4,5,1,0,0,1,1,1,0.75,0.819672131147541,2,3,0,0,0,0,18
40,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,24
00,4,1,1,2,2,0,0,0,0.4,0.4,0,1,0,0,0,1,4
bandana,15,1,1,2,11,3,0,2,0.38235294117647056,0.4411764705882353,1,0,0,0,0,0,3.272727272727273
jason,4,0,0,2,0,0,1,0,1,0.819672131147541,0,0,0,0,0,0,24
